,﻿Status,Opp Type,Opp ID,Program Name,Acronym,Organization Level 1,Organization Level 2,Solicitation Number,Value (USD-$K),Summary,Contract Value,NAICS,Classification Code (SAM),Solicitation Date,Solicitation Date (Actual/Estimate),Projected Award Date,Response Date
54,Pre-RFP,Tracked Opportunities,230376,INVESTIGATIVE CASE MANAGEMENT OPERATIONS AND MAINTENANCE SUPPORT SERVICES AND CUSTOM ENHANCEMENTS (ICM) (O&M),ICM) (O&M,HOMELAND SECURITY,IMMIGRATION AND CUSTOMS ENFORCEMENT,,"96,000","The Department of Homeland Security, Immigration and Customs Enforcement, Homeland Security Investigations has an ongoing requirement for Homeland Security Investigations (HSI) Investigative Case Management (ICM). This contract is part of the ICE TECS Modernization effort (Opportunity 196311 <https://iq.govwin.com/neo/opportunity/view/196311> ).",95949,"511210 - Software Publishers, 541512 - Computer Systems Design Services, 541513 - Computer Facilities Management Services",,06/2025,(Deltek Estimate),08/2027,
55,Pre-RFP,Tracked Opportunities,204475,SENTINEL INITIATIVE,,HEALTH AND HUMAN SERVICES,FOOD AND DRUG ADMINISTRATION,FDA120520230001,"220,000","The US Department of Health and Human Services, Food and Drug Administration has a continuing requirement for a contractor to support the Sentinel Initiative.","0, 0","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),09/2024,
56,Pre-RFP,Tracked Opportunities,237853,MCJROTC SUPPORT SERVICES,,MARINE CORPS,"MARINE CORPS COMBAT DEVELOPMENT COMMAND, COMBAT DEVELOPMENT & INTEGRATION",M0026424SSA0004,"1,679","The United States Marine Corps, Marine Corps Junior Reserve Officer’s Training Corps (MCJROTC), Training and Education
Command (TECOM), has a requirement for professional services in support of their Program Support Branch.","1439, 240",541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),10/2024,
57,Pre-RFP,Tracked Opportunities,232317,DIGITIZATION OF RECORDS,,TREASURY,INTERNAL REVENUE SERVICE,DigitizationofRecords,TBD,"The US Department of Treasury, Internal Revenue Service has a requirement for support to digitize the above-described regulation legal files through scanning. The vendor will be required to demonstrate ability to be flexible and work in an agile environment.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),05/2024,
58,Pre-RFP,Tracked Opportunities,182011,ENTERPRISE CLOUD AND INTEGRATION SERVICES CLOUD SERVICES (ECIS),ECIS,HOMELAND SECURITY,CUSTOMS AND BORDER PROTECTION,F2020049371,"100,000","The Department of Homeland Security, Customs and Border Protection, Office of Information Technology has a requirement for Enterprise Cloud & Integration Services (ECIS) - Cloud Services.","30760, 23931","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services, 541519 - Other Computer Related Services",,04/2024,(Deltek Estimate),09/2024,
59,Forecast Pre-RFP,Tracked Opportunities,226035,PUBLICLY AVAILABLE INFORMATION ALERTING DEPARTMENT OF DEFENSE ENTERPRISE LICENSE SUBSCRIPTION (PAI)(DOD)(PADELS),PAI)(DOD)(PADELS,AIR FORCE,AIR FORCE DISTRICT OF WASHINGTON,,"267,733","The Department of the Air Force, Air Force District of Washington, A2/6 ISR Operations may have a continuing requirement for a solution to evaluate publicly available information (PAI) in real-time.","258661, 12120, 267733, 14283","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2026,(Deltek Estimate),06/2026,
60,Pre-RFP,Tracked Opportunities,227520,DHA NUTRITION MANAGEMENT SOLUTION SOFTWARE,,DEFENSE,DEFENSE HEALTH AGENCY,HT001523R0006,TBD,"The Department of Defense (DoD), Defense Health Agency (DHA), has a requirement for the DHA Nutrition Management Solution Software.",,"541511 - Custom Computer Programming Services, 518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),06/2024,
61,Pre-RFP,Tracked Opportunities,235760,ARMY ENTERPRISE CLOUD MANAGEMENT AGENCY CLOUD CYBERSECURITY SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE SUPPORT (ECMA)(SETA),ECMA)(SETA,ARMY,CHIEF INFORMATION OFFICER/G-6,ECMASETACybersecurity,TBD,"The Department of the Army, Headquarters Department of the Army (HQDA)/Chief Information Office (CIO), Enterprise Cloud Management Agency (ECMA), has a requirement for Cloud Cybersecurity Support.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services, 541512 - Computer Systems Design Services, 541519 - Other Computer Related Services",,03/2024,(Deltek Estimate),06/2024,
62,Pre-RFP,Tracked Opportunities,237817,CLOUD FINOPS,,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CloudFinOpsRFI,TBD,"The U.S. Department of Commerce, National Oceanic and Atmospheric Administration (NOAA) has a requirement for cloud financial management/FinOps tools to enhance our cloud cost optimization, allocation, and governance processes.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),05/2024,
63,Pre-RFP,Tracked Opportunities,231881,CLOUD ONE NEXT ENTERPRISE APPLICATION MODERNIZATION AND MIGRATION (C1N EAMM),C1N EAMM,AIR FORCE,AIR FORCE MATERIEL COMMAND,C1NMMRFI,TBD,"The Department of the Air Force, Air Force Materiel Command, Air Force Life Cycle Management Center, C3I/Networks Directorate, C3I Networks Division has a requirement for Enterprise Application/System Modernization and Migration services.","791000, 4209, 5471, 15778, 728175, 19732, 10013","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2024,(Deltek Estimate),10/2024,
64,Pre-RFP,Tracked Opportunities,231888,CLOUD ONE NEXT ENVIRONMENT AND COMMON SHARED SERVICES (C1N ECSS),C1N ECSS,AIR FORCE,AIR FORCE MATERIEL COMMAND,C1NACSRFI,TBD,"The Department of the Air Force, Air Force Materiel Command, Air Force Life Cycle Management Center, C3I/Networks Directorate, C3I Networks Division has a requirement for Environment and Common Shared Services.","791000, 4209, 5471, 15778, 12730, 18, 823, 19732, 10013, 1194969","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2024,(Deltek Estimate),10/2024,
65,Pre-RFP,Tracked Opportunities,212694,AFLCMC CYBER SUPPORT SERVICES (CSS3),CSS3,AIR FORCE,AIR FORCE MATERIEL COMMAND,CSS31,"185,930","The Department of the Air Force, Air Force Materiel Command, Air Force Life Cycle Management Center, C3I/Networks Directorate, Cyber Sustainment Branch has a follow-on requirement for Cyber Support Services (CSS) in support of the Air Force Network (AFNET).",647937,541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),01/2025,
66,Forecast Pre-RFP,Tracked Opportunities,238354,NGITS TASK AREA APPLICATION HOSTING,,HEALTH AND HUMAN SERVICES,PROGRAM SUPPORT CENTER,,TBD,"Multiple vendors are fulfilling the Department of Health and Human Services, Program Support Center requirement for Next Generation Information Technology Services (NGITS) Application Hosting.","0, 0","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2025,(Deltek Estimate),09/2025,
67,Pre-RFP,Tracked Opportunities,206134,BASED RESPIRATOR MEDICAL QUESTIONNAIRE AND EVALUATION TOOL,,HEALTH AND HUMAN SERVICES,PROGRAM SUPPORT CENTER,PSC321814,"6,645","The Department of Health and Human Services, Program Support Center has a requirement for an Online Respirator Medical Questionnaire and Evaluation Clearance Tool.",6445,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),04/2025,
68,Forecast Pre-RFP,Tracked Opportunities,232902,ENTERPRISE TALENT MANAGEMENT SYSTEM,,HOUSING AND URBAN DEVELOPMENT,CHIEF PROCUREMENT OFFICER,,"11,944",The US Department of Housing and Urban Development may have a continuing requirement for Enterprise Talent Management System.,11943,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2026,(Deltek Estimate),09/2026,
69,Forecast Pre-RFP,Tracked Opportunities,227672,NETWORK OPERATION MANAGEMENT SUPPORT FOR THE CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY (CISA NOM),CISA NOM,HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,F2023061002,"20,000","The Department of Homeland Security (DHS), Cybersecurity and Infrastructure Security Agency (CISA), Cybersecurity Division, Vulnerability Management (VM) subdivision may have a requirement for network operations management support.",,541513 - Computer Facilities Management Services,,11/2024,(Deltek Estimate),06/2025,
70,Forecast Pre-RFP,Tracked Opportunities,214185,SYSTEMS PRODUCTION AND CUSTOMER SUPPORT FOR THE OFFICE OF PERSONNEL MANAGEMENT (HRSITPMO),HRSITPMO,OFFICE OF PERSONNEL MANAGEMENT,,,"14,857",The Office of Personnel Management may have a continuing requirement for Systems Production and Customer Support Services.,14397,541513 - Computer Facilities Management Services,,08/2024,(Deltek Estimate),01/2025,
71,Source Selection,Tracked Opportunities,210346,INFORMATION TECHNOLOGY SUPPORT SERVICES (ITSS),ITSS,ENERGY,NATIONAL ENERGY TECHNOLOGY LABORATORY,89243323RFE000075,"91,600","The US Department of Energy, National Energy Technology Laboratory (NETL) has a continuing requirement for logistics & administrative support for IT activities, project management, software license & maintenance management, cybersecurity planning, and enterprise architecture support.","88707, 18322",541513 - Computer Facilities Management Services,,11/2023,(Deltek Estimate),05/2024,
72,Pre-RFP,Tracked Opportunities,237769,DEVELOPMENT OF REPLACEMENT WIDE AREA MESSAGING SYSTEM,,AIR FORCE,AIR FORCE MATERIEL COMMAND,FA821424RMM3001,TBD,"The Department of the Air Force, Air Force Materiel Command, Air Force Nuclear Weapons Center has a requirement to develop a replacement wide area messaging system including network, application, and cyber support in a classified environment.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2024,(Deltek Estimate),09/2024,
73,Pre-RFP,Tracked Opportunities,212069,NOAA WORKPLACE VIOLENCE AND RESPONSE OFFICE EVALUATION AND TRACKING,,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,68524,TBD,"The Department of Commerce, National Oceanic and Atmospheric Administration has a requirement for a platform that provides the flexibility to implement its WVPRO VAL Program Assessment and its NWS Products and Services Assessment Survey initiatives.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),05/2024,
74,Forecast Pre-RFP,Tracked Opportunities,172918,CAREPOINT HEALTHCARE APPLICATION SUITE TIERS I II AND MEDCOI MIGRATION (CHAS),CHAS,DEFENSE,DEFENSE HEALTH AGENCY,,"7,990","The Department of Defense (DoD), Defense Health Agency (DHA), may have a continuing requirement for the Sustainment of the Carepoint Healthcare Application Suite (CHAS) Tiers I, II and provide Medical Community of Interest (MEDCOI) Migration Support.",7990,541513 - Computer Facilities Management Services,,05/2024,(Deltek Estimate),10/2024,
75,Pre-RFP,Tracked Opportunities,232837,BUREAU OF LABOR STATISTICS IT INFRASTRUCTURE SUPPORT SERVICES,,LABOR,BUREAU OF LABOR STATISTICS,RFQ1631337,"45,039",The US Department of Labor's Bureau of Labor Statistics has a requirement for LAN/WAN IT Infrastructure and Help Desk Support Services.,34596,541513 - Computer Facilities Management Services,,01/2024,(Deltek Estimate),04/2024,
76,Pre-RFP,Tracked Opportunities,232768,INSTALLATION SYSTEMS BRANCH ISB CAPACITY AS A SERVICE SOLUTION,,MARINE CORPS,INSTALLATIONS AND LOGISTICS DEPARTMENT,M0026423SSA0024,"49,990","The Department of the Navy, United States Marine Corps, Installations and Logistics Department, National Capital Regional (RCO-NCR), has a requirement for G-6 Installation Systems Branch (ISB) requirement for Capacity as a Service (CaaS).",49990,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),11/2024,
77,Forecast Pre-RFP,Tracked Opportunities,238123,JECC COMMAND CONTROL COMMUNICATIONS CYBER COLLABORATION SUPPORT (C5S),C5S,DEFENSE,US TRANSPORTATION COMMAND,,"25,000","The Department of Defense (DoD), United States Transportation Command (USTRANSCOM), may have a continuing requirement for JECC Command, Control, Communications, Cyber, Collaboration Support (C5S).",14384,541513 - Computer Facilities Management Services,,04/2025,(Deltek Estimate),07/2025,
78,Forecast Pre-RFP,Tracked Opportunities,213325,SAP ANALYTICS CLOUD SOFTWARE AS A SERVICE (SAP)(SAC),SAP)(SAC,ARMY,"ASA ACQUISITION, LOGISTICS AND TECHNOLOGY",,"5,000","The Department of the Army, Assistant Secretary of the Army (Acquisition, Logistics, and Technology, PEO Enterprise Information Systems has a requirement for System Applications and Products (SAP) Analytics Cloud (SAC) as a data visualization Software as a Service (SaaS) product.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),07/2024,
79,Pre-RFP,Tracked Opportunities,222711,IN DEVELOPMENT DEPARTMENT WIDE CLOUD SERVICES ENTERPRISE CLOUD INFRASTRUCTURE PROVIDER SUITE (ECLIPS),ECLIPS,HOMELAND SECURITY,MANAGEMENT DIRECTORATE,,TBD,The Department of Homeland Security (DHS) has a requirement for a Department-wide Cloud Service vehicle/vehicles.,,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2024,(Deltek Estimate),05/2024,
80,Forecast Pre-RFP,Tracked Opportunities,189846,LEGACY EPRESCRIBING SOLUTION (LEPS),LEPS,DEFENSE,DEFENSE HEALTH AGENCY,,"21,153","The Department of Defense (DoD), Defense Health Agency (DHA), may have a continuing requirement for Legacy ePrescribing Solution (LEPS).",21153,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2026,(Deltek Estimate),05/2027,
81,Forecast Pre-RFP,Tracked Opportunities,237882,WORKSPACE RESERVATION MANAGEMENT SERVICE,,GENERAL SERVICES ADMINISTRATION,GENERAL SERVICES ADMINISTRATION INFORMATION TECHNOLOGY (GSA IT),,"4,875","The General Services Administration, Office of the Chief Information Officer may have a continuing requirement for Workspace Resource Reservation System to efficiently and effectively manage our workspaces for a variety of work styles and shared use across GSA facilities and its employees.",4875,"541519 - Other Computer Related Services, 511210 - Software Publishers, 518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2027,(Deltek Estimate),09/2027,
82,Pre-RFP,Tracked Opportunities,215914,GEOSPATIALLY ENABLED ACREAGE REPORTING SYSTEM,,AGRICULTURE,FARM PRODUCTION AND CONSERVATION BUSINESS CENTER,12FPC222Q0007,"10,880","The Department of Agriculture, Farm Production and Conservation Business Center has a requirement for existing technologies and innovative solutions to support the acreage reporting requirements for USDA programs.","463, 10880","511210 - Software Publishers, 423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers, 518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services, 541511 - Custom Computer Programming Services, 541519 - Other Computer Related Services",,03/2024,(Deltek Estimate),06/2024,
83,Source Selection,Tracked Opportunities,188191,PHILLIPS RESEARCH SITE INFORMATION SYSTEMS MANAGEMENT (PRSISM),PRSISM,AIR FORCE,AIR FORCE MATERIEL COMMAND,FA945124SPRsISM,"50,219","The Department of the Air Force, Air Force Materiel Command, Air Force Research Laboratory, Phillips Research Site has a continuing requirement for information technology support.",43548,"541513 - Computer Facilities Management Services, 541519 - Other Computer Related Services",,05/2023,(Deltek Estimate),01/2024,
84,Forecast Pre-RFP,Tracked Opportunities,214624,DATA CENTER ALTERNATE PROCESSING SITE,,COMMERCE,PATENT AND TRADEMARK OFFICE,,"71,587","The U.S. Department of Commerce, Patent and Trademark Office may have a requirement for an alternate processing site in order to maintain the security and accessibility of data services for the organization.",71587,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,09/2026,(Deltek Estimate),02/2027,
85,Forecast Pre-RFP,Tracked Opportunities,221348,US MARINE CORPS RECRUITING COMMAND NETWORK SUPPORT SERVICES,,MARINE CORPS,MARINE CORPS RECRUITING COMMAND,,"17,749","The United States Marine Corps (USMC), Marine Corps Recruiting Command, may have a continuing requirement for Network Support Services.",17749,541513 - Computer Facilities Management Services,,08/2025,(Deltek Estimate),03/2026,
86,Pre-RFP,Tracked Opportunities,221896,JOINT SERVICE PROVIDER INFORMATION TECHNOLOGY SERVICE DELIVERY SUPPORT SERVICES (JSP),JSP,DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,832268923,"276,521","The Department of Defense (DoD), Defense Information Systems Agency (DISA), Defense Information Technology Contracting Organization (DITCO), has a continuing requirement for Joint Service Provider (JSP), Business Resource center (JP8) Service Delivery contract.",276521,541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),09/2024,
87,Awarded,Tracked Opportunities,184207,DARPA ITD MULTINETWORK SUPPORT SERVICES,,DEFENSE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,HR001120Q0002,"910,843","Securigence LLC is currently performing services for the Department of Defense (DOD), Defense Advanced Research Projects Agency (DARPA), requirement for DARPA ITD Multi-Network Support Services (also known as Unclassified and Classified IT services).",910843,541513 - Computer Facilities Management Services,,03/2020,(Deltek Estimate),10/14/2020,04/30/2020
88,Forecast Pre-RFP,Tracked Opportunities,226511,IRP CORE LAB AND EXTERNAL VENDOR DATABASE AND COLLABORATIVE PLATFORM,,HEALTH AND HUMAN SERVICES,NATIONAL INSTITUTES OF HEALTH,,787,"The US Department of Health and Human Services, National Institutes of Health may have a continuing requirement for IRP Core Lab and External Vendor Database and Collaborative Platform.",787,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,09/2025,(Deltek Estimate),10/2026,
89,Pre-RFP,Tracked Opportunities,210417,CISCO BUSINESS CRITICAL ENTERPRISE SERVICE AGREEMENT (CBCESA),CBCESA,VETERANS AFFAIRS,OFFICE OF INFORMATION AND TECHNOLOGY,36C10B24Q0026,"863,920","The Department of Veterans Affairs, Office of Information and Technology, Information Technology Operations and Services, has a continuing requirement for Cisco brand name Smart Net Maintenance, Cisco Software Support Services (SWSS) and Business Critical Services Support for the VA Office of Information and Technology (OIT) managed Cisco equipment and applications worldwide.",863920,541513 - Computer Facilities Management Services,,09/2024,(Deltek Estimate),10/2024,
90,Forecast Pre-RFP,Tracked Opportunities,220969,CLINICAL DATA ABSTRACTION CENTER (CDAC),CDAC,HEALTH AND HUMAN SERVICES,CENTERS FOR MEDICARE AND MEDICAID SERVICES,,"40,982","The US Department of Health and Human Services, Centers for Medicare and Medicaid Services may have a continuing requirement for Clinical Data Abstraction services in support of Quality Reporting Programs and other special projects, including those supported by affiliated agencies (i.e., End Stage Renal Disease, Medicare Patient Safety Monitoring System, etc.), as deemed by the Centers for Clinical Standards and Quality (CCSQ).",40982,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2026,(Deltek Estimate),09/2026,
91,Pre-RFP,Tracked Opportunities,188781,CONSOLIDATED SCIENCE TECHNICAL SUPPORT INCLUDING ADDITIONAL IM IT SUPPORT,,ARMY,ARMY CORPS OF ENGINEERS,W9127823L0025,"9,750","The Department of the Army, Army Corp of Engineers (USACE), Mobile District, has a requirement to provide various Scientific and Technical Support Services including additional IM/IT Service to the US Army Corps of Engineers (USACE) Mobile District.",9750,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),09/2024,
92,Forecast Pre-RFP,Tracked Opportunities,207357,INFORMATION TECHNOLOGY SUPPORT SERVICES AT FORT JACKSON SOUTH CAROLINA (USACHCS),USACHCS,ARMY,ARMY TRAINING AND DOCTRINE COMMAND,,"1,236","The Department of the Army, Army Materiel Command, Mission and Installation Command may have a continuing requirement for information technology (IT) and audio visual (AV) systems and services in support of the U.S. Army Chaplain Center and School (USACHCS) in Fort Jackson, South Carolina.",1236,541513 - Computer Facilities Management Services,,06/2024,(Deltek Estimate),09/2024,
93,Awarded,Tracked Opportunities,198422,CECOM CONSOLIDATED MANPOWER FOR INFORMATION TECHNOLOGY SERVICES,,ARMY,ARMY MATERIEL COMMAND,W91ZLK23R0002,"16,823","Agile Decision Sciences LLC is fulfilling the Department of the Army, Army Materiel Command (AMC), Communications Electronics Command (CECOM) continuing requirement for Consolidated Manpower for Information Technology Services.",16823,541513 - Computer Facilities Management Services,,03/2023,(Deltek Estimate),08/02/2023,
94,Forecast Pre-RFP,Tracked Opportunities,226851,RANGE RECORDS DIGITIZATION BPA SETUP,,INTERIOR,BUREAU OF LAND MANAGEMENT,,"3,000","The Department of the Interior, Bureau of Land Management may have a continuing requirement for services to support organizing and digitizing range records for Nevada.","1000, 0, 1000, 1000","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2026,(Deltek Estimate),09/2026,
95,Forecast Pre-RFP,Tracked Opportunities,220861,PERMANENT RECORDS DIGITIZATION INITIATIVE WVARNG,,ARMY,NATIONAL GUARD BUREAU,,921,"The Department of the Army, Army National Guard may have a continuing requirement for records digitization and indexing services for the West Virginia Army National Guard (WVARNG).",921,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2025,(Deltek Estimate),09/2025,
96,Forecast Pre-RFP,Tracked Opportunities,202343,COMMAND INFORMATION MANAGEMENT SYSTEM (CIMS IV),CIMS IV,ARMY,ARMY SPACE & MISSILE DEFENSE COMMAND/ARMY FORCES STRATEGIC COMMAND,,"45,000","The Department of the Army, US Army Space and Missile Defense Command/Army Forces Strategic Command (USASMDC/ARSTRAT), may have a continuing requirement for operation, maintenance, development, implementation and integration of technology enhancements to its Command Information Management System.",45000,541513 - Computer Facilities Management Services,,09/2024,(Deltek Estimate),05/2025,
97,Forecast Pre-RFP,Tracked Opportunities,177451,EMAIL ENTERPRISE RECORDS AND DOCUMENT MANAGEMENT SYSTEM (EERDMS),EERDMS,INTERIOR,INTERIOR BUSINESS CENTER,DOIRM11202019,"53,290","The Department of the Interior, Acquisition Services Directorate (AQD) on behalf of the Office of the Chief Information Officer has a continuing requirement for eMail Enterprise Records and Document Management System.",53290,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2025,(Deltek Estimate),05/2025,
98,Forecast Pre-RFP,Tracked Opportunities,233785,IM AND IT SUPPORT SERVICES,,AIR FORCE,SPECIAL OPERATIONS COMMAND,,625,"The Department of the Air Force, Air Force Special Operations Command, 1st Special Operations Wing, 1st Special Operations Medical Group may have a continuing requirement for medical Information Management (IM) and Information Technology (IT) support services.",625,541513 - Computer Facilities Management Services,,12/2023,(Deltek Estimate),01/2024,
99,Forecast Pre-RFP,Tracked Opportunities,207234,DATA AND DOCUMENTATION MANAGEMENT SERVICES,,MILLENNIUM CHALLENGE CORPORATION,,,"1,917",The Millennium Challenge Corporation may have a continuing requirement for data and documentation management services.,1917,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2024,(Deltek Estimate),08/2025,
100,Pre-RFP,Tracked Opportunities,235733,ECMA SETA GENERAL,,ARMY,CHIEF INFORMATION OFFICER/G-6,ECMASETAGeneral,TBD,"The Department of the Army, Army Enterprise Cloud Management Agency has a requirement for Systems Engineering and Technical Assistance (SETA) General Support.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services, 541511 - Custom Computer Programming Services, 541512 - Computer Systems Design Services, 541519 - Other Computer Related Services",,02/2024,(Deltek Estimate),05/2024,
101,Forecast Pre-RFP,Tracked Opportunities,219853,INLAND ELECTRONIC NAVIGATIONAL CHARTS MAINTENANCE CONTRACT (IENC),IENC,ARMY,ARMY CORPS OF ENGINEERS,,"3,500","The Department of the Army, U.S. Army Corps of Engineers (USACE), Louisville District may have a continuing requirement for the production of new Inland Electronic Navigational Charts (IENC) cells for waterways being added into the USACE portfolio of charts.",3500,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,09/2026,(Deltek Estimate),12/2026,
102,Forecast Pre-RFP,Tracked Opportunities,189501,DIGITAL ASSET MANAGEMENT SYSTEM,,PEACE CORPS,,,900,"The Peace Corps may have a continuing requirement for a Commercial-off-the-shelf centralized system for print, digital, and multi-media brand assets as it is essential to coordinate and oversee materials.",900,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),09/2024,
103,Pre-RFP,Tracked Opportunities,208505,MEDICAL EXPENDITURE PANEL SURVEY SUPPORT HOUSEHOLD COMPONENT (MEPS-HC),MEPS-HC,HEALTH AND HUMAN SERVICES,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,HHSAHRQSBSS2410002,"280,300","The Department of Health and Human Services, Agency for Healthcare Research and Quality, Contracts Management has a continuing requirement for Medical Expenditure Panel Survey - Household Component (MEPS-HC).",280300,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2025,(Deltek Estimate),07/2025,
104,Pre-RFP,Tracked Opportunities,231678,SIGNAL BATTALION NETWORK ENTERPRISE CENTER ARMY INFORMATION TECHNOLOGY PORTFOLIO AITP SUPPORT KWAJALEIN ATOLL (NEC) (AITP),NEC) (AITP,ARMY,ARMY CYBER COMMAND,KWAJALEIN,"69,242","The Department of the Army, Army Cyber Command, has a requirement for Army Information Technology Portfolio (AITP) Support at the Kwajalein Atoll, Marshall Islands.",76075,541513 - Computer Facilities Management Services,,02/2024,(Deltek Estimate),07/2024,
105,Pre-RFP,Tracked Opportunities,231160,MAINTENANCE BUSINESS SYSTEM MODERNIZATION IMPLEMENTATION AND SUSTAINMENT SUPPORT (MABSM),MABSM,AIR FORCE,AIR FORCE MATERIEL COMMAND,FA822419DA003,TBD,"The Department of the Air Force, Air Force Materiel Command, Air Force Sustainment Center, Ogden Logistics Complex has a requirement for on-site project management, analytical, sustainment, and technical services for the Maintenance Business System Modernization (MABSM).",85000,541513 - Computer Facilities Management Services,,04/2024,(Deltek Estimate),07/2025,
106,Forecast Pre-RFP,Tracked Opportunities,237033,BASE TELECOMMUNICATIONS SYSTEM AT BEALE AFB CA (BEALE BTS),BEALE BTS,AIR FORCE,AIR COMBAT COMMAND,,"42,000","The Department of the Air Force, Air Combat Command, 12th Air Force, 9th Reconnaissance Wing, 9th Mission Support Group may have a continuing requirement for base telecommunications system services (BTS) at Beale AFB, CA.",42000,541513 - Computer Facilities Management Services,,10/2026,(Deltek Estimate),01/2027,
107,Forecast Pre-RFP,Tracked Opportunities,199990,EPA COMPASS HOSTING SUPPORT SERVICES,,ENVIRONMENTAL PROTECTION AGENCY,OFFICE OF THE CHIEF FINANCIAL OFFICER,,"19,670","The U.S. Environmental Protection Agency (EPA), Office of the Chief Financial Officer may have a continuing requirement to provide Hosting Operations and Support Services for the Environmental Protection Agency’s Financial System.",19670,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2024,(Deltek Estimate),12/2024,
108,Pre-RFP,Tracked Opportunities,222521,NOAA CLOUD PLATFORM MANAGEMENT SERVICES,,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,NOAA22CPMSOSC,TBD,"The Department of Commerce, National Oceanic and Atmospheric Administration has a requirement for cloud services and support services for the new Open Architecture Data Repository (OADR).",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),06/2024,
109,Pre-RFP,Tracked Opportunities,208046,MESONET PROGRAM,,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,230001,"128,436","The US Department of Commerce, National Oceanic and Atmospheric Administration's (NOAA) may have a continuing requirement for meteorological observation data derived from existing surface-based observing networks called ""mesonets"". These meteorological observations are required to fill the gaps in the Nation's meteorological, hydrologic and related environmental observing capabilities to enable significantly improved prediction of high-impact, local-scale weather events.",128436,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,09/2024,(Deltek Estimate),04/2025,
